date,sample.number,ziploc.number,species,wetweight,length,breadth,sizeindex,pre.bottle.number,incubation.start,incubation.end,incubation.time,post.bottle.number,vol.syringed,vol.measured,total.vol,pre.FLU1,pre.FLU2,pre.FLU3,pre.FLU.mean,post.FLU1,post.FLU2,post.FLU3,post.FLU.mean,post.FLU.mean.adjusted,FLU.difference,dilution.post (y/n)?,dilution.post.ratio
2019_07_26,C1,C1,NA,NA,NA,NA,,C11,9:18,10:18,60,B21,80,600,680,3.262,3.377,3.294,3.311,3.39,4.899,3.585,3.958,,,n,1
2019_07_26,C2,C2,NA,NA,NA,NA,,D5,9:19,10:19,60,B3,80,550,630,0.051,0.855,0.701,0.535666667,-0.08,-1.005,-0.971,-0.685333333,,,n,1
2019_07_26,C3,C3,NA,NA,NA,NA,,D20,9:07,10:15,68,D13,80,670,750,NA,NA,NA,NA,NA,3.843,3.819,3.831,,,n,1
2019_07_26,DD13,DD13,dd,2047,36,32,,B23,9:44,10:44,60,D24,80,810,890,-7.794,-7.225,-7.371,-7.463333333,531.7,531.5,532.2,531.8,,,n,1
2019_07_26,DD14,DD14,dd,2380,47,25,,C14,9:47,10:47,60,D28,80,580,660,-9.1,-9.403,-8.865,-9.122666667,422.4,588.5,584.7,531.8666667,,,n,1
2019_07_26,FT15,FT15,ft,943,34,21,,C9,9:35,10:36,61,D10,80,1650,1730,-20.45,-20.46,-20.33,-20.41333333,254.9,258.4,260.9,258.0666667,,,y,0.333333333
2019_07_26,DD12,DD12,dd,1540,37,25,,E4,9:41,10:42,61,C10,80,1240,1320,0.23,4.128,1.292,1.883333333,274.8,279.9,279.1,277.9333333,,,y,0.333333333
2019_07_26,FT12,FT12,ft,458,27,18,,D19,9:26,10:26,60,B11,80,1830,1910,-12.24,-12.21,-12.25,-12.23333333,400.5,406.5,405.8,404.2666667,,,n,1
2019_07_26,DD15,DD15,dd,1980,42,29,,B15,9:50,10:50,60,D27,80,840,920,-16.52,-16.04,-16.8,-16.45333333,313.5,317.7,321.2,317.4666667,,,y,0.333333333
2019_07_26,FT14,FT14,ft,1750,32,29,,D29,9:32,10:32,60,B4,80,690,770,-4.016,-3.451,-4.1,-3.855666667,578.5,433.6,436.3,482.8,,,n,1
2019_07_26,FT13,FT13,ft,161,16,12,,L1,9:29,10:30,61,B2,80,1710,1790,-3.313,-2.736,-2.962,-3.003666667,281.9,280.3,281.8,281.3333333,,,n,1
2019_07_26,DD11,DD11,dd,1836,37,29,,D9,9:38,10:40,62,E1,80,1070,1150,-15.83,-15.66,-15.48,-15.65666667,319.7,317.5,321.3,319.5,,,y,0.333333333
2019_07_26,FT11,FT11,ft,465,20,19,,D7,9:23,10:23,60,B8,80,1590,1670,-15.75,-15.44,-15.44,-15.54333333,231.6,235.2,235.4,234.0666667,,,y,0.333333333
2019_07_26,FT16,FT16,ft,660,30,17,,D22,10:55,11:57,62,B7,80,1980,2060,-3.941,-3.264,-3.15,-3.451666667,567.1,565,565.8,565.9666667,,,n,1
2019_07_26,FT17,FT17,ft,969,28,27,,D30,10:57,12:00,63,D23,80,1530,1610,3.5321,3.421,3.194,3.382366667,516.4,514.8,515.9,515.7,,,n,1
2019_07_26,FT18,FT18,ft,713,27,22,,D18,10:59,12:02,63,C5,80,1480,1560,-4.258,-4.351,-3.778,-4.129,358.8,358.3,359.7,358.9333333,,,y,0.333333333
2019_07_26,FT19,FT19,ft,482,17,24,,D12,11:03,12:04,61,D4,80,1440,1520,-5.602,-5.54,-5.475,-5.539,531.8,534.1,534.2,533.3666667,,,n,1
2019_07_26,FT20,FT20,ft,545,36,14,,D16,11:00,12:06,66,D11,80,1560,1640,-5.536,-5.067,-5.767,-5.456666667,338.7,341.7,338.4,339.6,,,y,0.333333333
2019_07_26,DD16,DD16,dd,1197,28,26,,B29,11:09,12:09,60,B25,80,1350,1430,-6.316,-5.873,-6.054,-6.081,381.2,381.9,381.9,381.6666667,,,n,1
2019_07_26,DD17,DD17,dd,1586,33,18,,D14,11:12,12:13,61,D32,80,1575,1655,-5.67,-6.081,-5.561,-5.770666667,300.1,303.6,302.4,302.0333333,,,y,0.333333333
2019_07_26,DD18,DD18,dd,1086,26,27,,B5,11:15,12:15,60,C13,80,1470,1550,-7.69,-8.034,-8.082,-7.935333333,265.4,261.4,263.3,263.3666667,,,y,0.333333333
2019_07_26,DD19,DD19,dd,494,19,21,,C2,11:18,12:17,59,D1,80,1630,1710,-10.33,-10.38,-10.22,-10.31,567.4,567.8,566.7,567.3,,,n,1
2019_07_26,DD20,DD20,dd,524,21,21,,D25,11:21,12:20,59,C12,80,900,980,-11.55,-11.65,-11.53,-11.57666667,185.6,188.2,185.1,186.3,,,n,1
