date,patch,cucumber,species,length,girth,substrate,time_0,time_1,distance_1,pellets_1,time_2,distance_2,pellets_2,time_3,distance_3,pellets_3,pellets_collected,total_pellets,pellets_per_hr,total_distance,speed,sizeindex,wet_weight_water,weight_per_pellet,sand_vol_egestion_rate,dry_weight_1,dry_weight_2,ash_weight,AFDW,organic_cont,om_per_g_dry,om_per_g_ash,inorganic_cont,om_rate,,g_per_hr
2019-07-16,Mount pretty,1,dd,18,23,patch,11:56,12:56,0.1,3,13:56,0,0,14:56,0,4,4,7,2.333333333,0.1,0.033333333,20.34698995,15.862,0.212857143,0.638571429,1.49,1.37,1.359,0.131,8.791946309,5.900635107,6.469423333,91.20805369,1.966878369,,0.496666667
2019-07-16,Mount pretty,2,dd,26,22,patch,11:58,12:58,0.1,12,13:58,0.1,12,14:58,0.1,12,10,36,12,0.3,0.1,23.91652149,26.553,0.350333333,1.051,12.612,12.612,12.126,0.486,3.853472883,0.305540191,0.317785987,96.14652712,0.10184673,,4.203999996
2019-07-16,Mount pretty,3,dd,25,22,sand,11:52,12:52,0,5,13:52,0,0,14:52,0.15,18,10,23,7.666666667,0.15,0.05,23.4520788,42.188,0.443478261,1.330434783,10.2,9.821,9.798,0.402,3.941176471,0.38638985,0.402242955,96.05882353,0.128796617,,3.400000001
2019-07-16,Mount pretty,4,dd,23,23,sand,11:58,12:58,0.25,11,13:58,0,4,14:58,0.1,0,10,15,5,0.35,0.116666667,23,34.143,0.776733333,2.3302,11.651,11.22,11.198,0.453,3.888078277,0.33371198,0.347211848,96.11192172,0.111237327,,3.883666665
2019-07-16,Mount pretty,5,ft,19,25,patch,11:54,12:54,0,64,13:54,0,10,14:54,0,12,10,86,28.66666667,0,0,21.79449472,21.708,0.025744186,0.077232558,2.214,2.214,2.076,0.138,6.233062331,2.815294639,3.002438502,93.76693767,0.938431546,,0.737999999
2019-07-16,Mount pretty,6,ft,19,21,patch,11:56,12:56,0,0,13:56,0.3,95,14:56,0,0,10,95,31.66666667,0.3,0.1,19.97498436,18.166,0.011042105,0.033126316,1.049,1.049,0.968,0.081,7.721639657,7.360952962,7.976900472,92.27836034,2.453650987,,0.349666658
2019-07-16,Mount pretty,7,ft,18,22,sand,11:52,12:52,0.7,131,13:52,0,0,14:52,0,20,10,151,50.33333333,0.7,0.233333333,19.89974874,22.412,0.027046358,0.081139073,4.084,4.084,3.888,0.196,4.799216454,1.175126458,1.234366372,95.20078355,0.391708819,,1.361333353
2019-07-16,Mount pretty,8,ft,20,24,patch,12:12,13:12,0,6,14:12,0.1,3,15:12,0,9,10,18,6,0.1,0.033333333,21.9089023,22.083,0.194055556,0.582166667,3.493,3.316,3.314,0.179,5.124534784,1.467086969,1.546329144,94.87546522,0.48902899,,1.164333336
2019-07-16,Mount pretty,9,ft,14,20,patch,12:08,13:08,0,4,14:08,0,14,15:08,0,0,10,18,6,0,0,16.73320053,24.963,0.068555556,0.205666667,1.234,1.145,1.149,0.085,6.888168558,5.581984244,5.994924767,93.11183144,1.860661415,,0.411333336
2019-07-16,Mount pretty,10,ft,18,20,sand,12:07,13:07,0.1,8,14:07,0,6,15:07,0,14,10,28,9.333333333,0.1,0.033333333,18.97366596,21.923,0.0955,0.2865,2.674,2.538,2.545,0.129,4.824233358,1.804126162,1.895573029,95.17576664,0.601375387,,0.891333333
2019-07-16,Mount pretty,11,ft,19,20,sand,12:14,13:14,0,6,14:14,0,0,15:07,0,2,10,8,2.666666667,0,0,19.49358869,27.447,0.28125,0.84375,2.25,2.25,2.133,0.117,5.2,2.311111111,2.437880919,94.8,0.77037037,,0.75
2019-07-16,Mount pretty,12,dd,26,22,sand,12:13,13:13,0.18,0,14:13,0.3,7,15:13,0.4,0,7,7,2.333333333,0.88,0.293333333,23.91652149,35.68,0.991142857,2.973428571,6.938,6.69,6.702,0.236,3.401556645,0.490279136,0.507543516,96.59844336,0.163426379,,2.312666666
2019-07-16,Mount pretty,13,dd,24,25,sand,12:10,13:10,0,0,14:10,0,0,15:10,0,0,0,0,0,0,0,24.49489743,,,,,,,,,,,,,,0
2019-07-16,Mount pretty,14,dd,22,21,patch,12:09,13:09,0,13,14:09,0,2,15:09,0,0,6,15,5,0,0,21.49418526,30.953,0.356333333,1.069,5.345,5.154,5.156,0.189,3.536014967,0.661555653,0.685805851,96.46398503,0.220518551,,1.781666665
2019-07-16,Mount pretty,15,ft,22,22,sand,11:56,12:56,0.45,25,13:56,0.5,21,14:56,0,0,10,46,15.33333333,0.95,0.316666667,22,19.758,0.057043478,0.171130435,2.624,2.624,2.528,0.096,3.658536585,1.394259369,1.447205928,96.34146341,0.464753123,,0.874666662
