cuke_num,species,dist_length_cm,dist_girth,undist_length_cm
29,dd,26,25,30
32,dd,19,27,22
45,dd,27,26,32
56,dd,26,21,NA
60,dd,23,23,NA
87,dd,35,22,36
107,dd,21,21,26
113,dd,32,23,NA
114,dd,34,26,NA
115,dd,30,28,32
116,dd,27,24,29
117,dd,25,25,27
118,dd,26,26,34
119,dd,21,25,31
120,dd,20,20,29
121,dd,21,26,31
122,dd,22,27,25
123,dd,33,25,40
124,dd,25,23,NA
125,dd,28,24,NA
126,dd,19,22,24
127,dd,25,23,28
128,dd,28,24,33
129,dd,28,26,32
130,dd,24,20,26
131,dd,27,20,31
132,dd,27,20,28
133,dd,23,25,28
134,dd,27,22,34
135,dd,18,20,NA
136,dd,24,22,29
137,dd,29,22,36
138,dd,22,23,30
139,dd,22,25,28
140,dd,27,25,30
141,dd,23,22,28
142,dd,22,26,27
143,dd,28,27,31
144,dd,20,25,21
145,dd,31,27,
152,dd,29,26,
164,dd,25,21,
169,dd,25,23,
170,dd,27,24,
178,dd,26,25,
179,dd,26,22,
184,dd,24,23,
185,dd,29,26,
186,dd,30,21,
187,dd,35,20,
190,dd,26,24,
191,dd,26,23,
202,dd,31,22,
203,dd,25,23,
204,dd,26,26,
205,dd,24,24,
206,dd,25,23,
209,dd,26,27,
211,dd,32,16,
213,dd,32,27,
215,dd,31,27,
216,dd,30,23,
221,dd,24,25,
223,dd,30,25,
224,dd,31,22,
228,dd,24,26,
229,dd,18,22,
231,dd,28,22,
232,dd,23,26,
237,dd,23,27,
246,dd,21,25,
269,dd,33,24,
272,dd,30,23,
276,dd,22,21,
300,dd,22,25,
306,dd,30,27,
314,dd,28,27,
315,dd,27,31,
316,dd,27,20,
317,dd,26,24,
318,dd,24,24,
328,dd,22,18,
329,dd,25,24,
330,dd,17,20,
343,dd,20,26,
344,dd,26,25,
345,dd,24,27,
346,dd,24,27,
347,dd,20,22,
348,dd,21,23,
360,dd,25,25,
362,dd,28,24,
386,dd,21,22,
391,dd,19,21,
392,dd,18,19,
393,dd,17,20,
394,dd,27,22,
395,dd,28,22,
396,dd,25,26,
397,dd,27,28,
398,dd,24,23,
421,dd,25,28,
422,dd,26,21,
423,dd,21,26,
424,dd,27,24,
425,dd,26,22,
426,dd,25,26,
427,dd,26,27,
428,dd,25,26,
429,dd,25,22,
433,dd,26,21,
434,dd,23,24,
435,dd,21,22,
439,dd,21,22,
440,dd,24,23,
441,dd,21,24,
442,dd,18,23,
443,dd,23,21,
444,dd,19,24,
446,dd,30,24,
447,dd,25,25,
459,dd,25,19,
460,dd,28,24,
461,dd,31,21,
520,dd,26,27,
521,dd,21,27,
522,dd,24,26,
523,dd,30,23,
524,dd,31,21,
525,dd,23,20,
526,dd,30,18,
527,dd,25,25,
528,dd,34,21,
529,dd,32,20,
530,dd,33,23,
531,dd,22,30,
532,dd,24,23,
533,dd,20,22,
534,dd,24,22,
535,dd,30,23,
536,dd,32,20,
537,dd,27,18,
538,dd,31,22,
539,dd,33,21,
540,dd,35,22,
541,dd,30,23,
542,dd,26,24,
543,dd,29,21,
544,dd,32,21,
545,dd,22,23,
546,dd,31,22,
547,dd,24,23,
548,dd,31,21,
549,dd,28,23,
550,dd,32,20,
551,dd,29,25,
552,dd,30,25,
553,dd,26,28,
554,dd,31,24,
555,dd,29,26,
556,dd,28,21,
557,dd,30,24,
558,dd,30,24,
559,dd,23,20,
560,dd,25,19,
561,dd,28,24,
562,dd,22,26,
563,dd,24,23,
564,dd,28,24,
565,dd,32,27,
566,dd,29,24,
567,dd,23,20,
568,dd,35,23,
569,dd,31,28,
570,dd,27,25,
571,dd,35,31,
572,dd,40,27,
573,dd,32,20,
574,dd,32,22,
575,dd,26,25,
576,dd,25,18,
577,dd,23,21,
599,dd,24,23,
606,dd,18,23,
607,dd,26,22,
608,dd,25,22,
609,dd,23,23,
617,dd,26,22,
618,dd,24,25,
619,dd,22,21,
623,dd,27,22,
624,dd,24,21,
625,dd,26,21,
630,dd,24,20,
631,dd,25,23,
632,dd,30,24,
633,dd,24,23,
634,dd,18,22,
635,dd,25,23,
636,dd,18,26,
643,dd,25,19,
644,dd,24,22,
645,dd,21,21,
651,dd,37,19,
652,dd,23,23,
653,dd,39,28,
654,dd,36,23,
655,dd,27,24,
661,dd,35,23,
662,dd,24,22,
663,dd,23,16,
664,dd,37,26,
665,dd,31,21,
666,dd,36,32,
667,dd,47,25,
669,dd,37,25,
671,dd,42,29,
674,dd,37,29,
681,dd,28,26,
682,dd,33,18,
683,dd,26,27,
684,dd,19,21,
685,dd,21,21,
1,ft,20,20,22
2,ft,22,25,25
3,ft,21,23,21
4,ft,21,23,23
5,ft,18,22,20
6,ft,22,17,23
7,ft,21,24,23
8,ft,22,19,20
9,ft,26,21,25
10,ft,18,24,24
11,ft,20,24,23
12,ft,24,15,NA
13,ft,19,21,NA
14,ft,17,21,20
15,ft,16,24.5,19
16,ft,19,24,24
17,ft,22,25,24
18,ft,24,29,27
19,ft,23,26,25
20,ft,14,22,19
21,ft,17,25,19
22,ft,14,24,18
23,ft,21,25,29
24,ft,19,21,22
25,ft,25,24,26
26,ft,24,21,22
27,ft,22,29,24
28,ft,20,28,23
30,ft,24,27,26
31,ft,25,25,NA
33,ft,22,26,26
34,ft,19,24,21
35,ft,22,24,25
36,ft,21,25,23
37,ft,16,15,18
38,ft,20,26,23
39,ft,23,15,25
