date,sample.number,ziploc.number,species,wetweight,length,breadth,sizeindex,pre.bottle.number,incubation.start,incubation.end,incubation.time,post.bottle.number,vol.syringed,vol.measured,total.vol,pre.FLU1,pre.FLU2,pre.FLU3,pre.FLU.mean,post.FLU1,post.FLU2,post.FLU3,post.FLU.mean,post.FLU.mean.adjusted,FLU.difference,dilution.post (y/n)?,dilution.post.ratio,inc_time_h,bag_volume_L,mean_preFLU,mean_postFLU,int,slope,nh4_conc_pre,nh4_umol_pre,nh4_conc_post,nh4_umol_post,nh4_umol_diff,nh4_rate,nh4_rate_per_g,inc_time_min,mass_g,cuke_id,missing_water,true_mass
2019_07_26,DD13,DD13,dd,2047,36,32,33.9411255,B23,9:44:00,10:44:00,60,D24,80,810,890,-7.794,-7.225,-7.371,-7.463333333,531.7,531.5,532.2,531.8,NA,NA,n,1,1,0.89,-7.463333333,531.8,-0.871074351,0.014806068,-0.981576974,-0.813603507,7.002792778,6.232485572,7.046089079,7.046089079,0.003442154,60,2047,DD13,0.95,1078
2019_07_26,DD14,DD14,dd,2380,47,25,34.278273,C14,9:47:00,10:47:00,60,D28,80,580,660,-9.1,-9.403,-8.865,-9.122666667,422.4,588.5,584.7,531.8666667,NA,NA,n,1,1,0.66,-9.122666667,531.8666667,-0.871074351,0.014806068,-1.006145177,-0.604055817,7.003779849,4.6224947,5.226550517,5.226550517,0.00219603,60,2380,DD14,1.18,1176.4
2019_07_26,FT15,FT15,ft,943,34,21,26.72077843,C9,9:35:00,10:36:00,61,D10,80,1650,1730,-20.45,-20.46,-20.33,-20.41333333,254.9,258.4,260.9,258.0666667,NA,NA,y,0.333333333,1.016666667,1.73,-20.41333333,258.0666667,-0.871074351,0.014806068,-1.173315559,-1.969835916,8.849635044,15.30986863,17.27970454,16.9964307,0.018023787,61,943,FT15,0.11,830.8
2019_07_26,DD12,DD12,dd,1540,37,25,30.41381265,E4,9:41:00,10:42:00,61,C10,80,1240,1320,0.23,4.128,1.292,1.883333333,274.8,279.9,279.1,277.9333333,NA,NA,y,0.333333333,1.016666667,1.32,1.883333333,277.9333333,-0.871074351,0.014806068,-0.843189589,-1.053010257,9.732076716,12.84634127,13.89935152,13.6714933,0.008877593,61,1540,DD12,0.52,1009.6
2019_07_26,FT12,FT12,ft,458,27,18,22.04540769,D19,9:26:00,10:26:00,60,B11,80,1830,1910,-12.24,-12.21,-12.25,-12.23333333,400.5,406.5,405.8,404.2666667,NA,NA,n,1,1,1.91,-12.23333333,404.2666667,-0.871074351,0.014806068,-1.05220192,-1.949705667,5.114525532,9.768743767,11.71844943,11.71844943,0.025586134,60,458,FT12,-0.07,529.4
2019_07_26,DD15,DD15,dd,1980,42,29,34.89985673,B15,9:50:00,10:50:00,60,D27,80,840,920,-16.52,-16.04,-16.8,-16.45333333,313.5,317.7,321.2,317.4666667,NA,NA,y,0.333333333,1,0.92,-16.45333333,317.4666667,-0.871074351,0.014806068,-1.114683528,-0.965508846,11.48807642,10.56903031,11.53453915,11.53453915,0.005825525,60,1980,DD15,0.92,1041.6
2019_07_26,FT14,FT14,ft,1750,32,29,30.46309242,D29,9:32:00,10:32:00,60,B4,80,690,770,-4.016,-3.451,-4.1,-3.855666667,578.5,433.6,436.3,482.8,NA,NA,n,1,1,0.77,-3.855666667,482.8,-0.871074351,0.014806068,-0.928161615,-0.654684443,6.27729543,4.833517481,5.488201925,5.488201925,0.003136115,60,1750,FT14,1.07,658.6
2019_07_26,FT13,FT13,ft,161,16,12,13.85640646,L1,9:29:00,10:30:00,61,B2,80,1710,1790,-3.313,-2.736,-2.962,-3.003666667,281.9,280.3,281.8,281.3333333,NA,NA,n,1,1.016666667,1.79,-3.003666667,281.3333333,-0.871074351,0.014806068,-0.915546845,-1.578828852,3.294366201,5.8969155,7.475744352,7.353191166,0.045671995,61,161,FT13,0.05,110
2019_07_26,DD11,DD11,dd,1836,37,29,32.75667871,D9,9:38:00,10:40:00,62,E1,80,1070,1150,-15.83,-15.66,-15.48,-15.65666667,319.7,317.5,321.3,319.5,NA,NA,y,0.333333333,1.033333333,1.15,-15.65666667,319.5,-0.871074351,0.014806068,-1.102888027,-1.208321231,11.57839344,13.31515245,14.52347368,14.05497453,0.007655215,62,1836,DD11,0.69,1132.2
2019_07_26,FT11,FT11,ft,465,20,19,19.49358869,D7,9:23:00,10:23:00,60,B8,80,1590,1670,-15.75,-15.44,-15.44,-15.54333333,231.6,235.2,235.4,234.0666667,NA,NA,y,0.333333333,1,1.67,-15.54333333,234.0666667,-0.871074351,0.014806068,-1.101210006,-1.77902071,7.783598124,12.99860887,14.77762958,14.77762958,0.031779849,60,465,FT11,0.17,291.6
